month,category,is_complete_month,category_revenue,revenue_share
2025-07,东方养正瑜伽,False,430915.60000000,0.00939674
2025-07,中医变美,False,641395.00000000,0.01398654
2025-07,云帆太极,False,143277.92000000,0.00312438
2025-07,五禽戏,False,53201.00000000,0.00116012
2025-07,产研测试,False,12999.49000000,0.00028347
2025-07,体态,False,0.00000000,0.00000000
2025-07,健康营养,False,1133295.09000000,0.02471313
2025-07,健康食养,False,176534.00000000,0.00384958
2025-07,功法学院,False,12.00000000,0.00000026
2025-07,古法居家养生,False,3760.00000000,0.00008199
2025-07,君合太极,False,0.00000000,0.00000000
2025-07,唱歌,False,9804671.72000000,0.21380499
2025-07,固气活血,False,0.00000000,0.00000000
2025-07,国际声乐,False,0.00000000,0.00000000
2025-07,太极,False,13370312.70000000,0.29155893
2025-07,影像乐园,False,1786.00000000,0.00003895
2025-07,手机摄影,False,2107071.24000000,0.04594772
2025-07,普拉提,False,3934071.00000000,0.08578808
2025-07,气血调理,False,1637430.10000000,0.03570652
2025-07,瑜伽,False,7314081.82000000,0.15949409
2025-07,相机摄影,False,689702.10000000,0.01503995
2025-07,睡眠调理,False,1577733.61000000,0.03440475
2025-07,短视频,False,2700451.03000000,0.05888722
2025-07,私域,False,0.00000000,0.00000000
2025-07,舞蹈,False,58054.00000000,0.00126595
2025-07,茶道,False,33546.80000000,0.00073154
2025-07,轻训营,False,0.00000000,0.00000000
2025-07,逆龄女神瑜伽,False,18488.60000000,0.00040317
2025-07,风光摄影,False,15221.10000000,0.00033192
2025-08,东方养正瑜伽,True,829025.98000000,0.01036722
2025-08,中医变美,True,824498.30000000,0.01031060
2025-08,云帆太极,True,89802.50000000,0.00112301
2025-08,五禽戏,True,78271.40000000,0.00097881
2025-08,产研测试,True,0.21000000,0.00000000
2025-08,体态,True,12800.60000000,0.00016008
2025-08,体质食养,True,2285.00000000,0.00002857
2025-08,健康营养,True,2094601.37000000,0.02619363
2025-08,健康食养,True,491859.47000000,0.00615085
2025-08,功法学院,True,1212.00000000,0.00001516
2025-08,古法居家养生,True,9059.20000000,0.00011329
2025-08,君合太极,True,0.00000000,0.00000000
2025-08,唱歌,True,15709396.16000000,0.19645076
2025-08,固气活血,True,0.00000000,0.00000000
2025-08,塑形流瑜伽,True,7.00000000,0.00000009
2025-08,太极,True,25426600.79000000,0.31796735
2025-08,影像乐园,True,14581.00000000,0.00018234
2025-08,手机摄影,True,3905422.15000000,0.04883849
2025-08,普拉提,True,7199957.12000000,0.09003765
2025-08,气血调理,True,2734224.97000000,0.03419231
2025-08,瑜伽,True,12191415.69000000,0.15245735
2025-08,相机摄影,True,950868.74000000,0.01189090
2025-08,睡眠调理,True,2397012.46000000,0.02997537
2025-08,短视频,True,4731849.65000000,0.05917322
2025-08,私域,True,0.00000000,0.00000000
2025-08,舞蹈,True,44121.50000000,0.00055175
2025-08,茶道,True,30214.00000000,0.00037784
2025-08,轻训营,True,0.00000000,0.00000000
2025-08,逆龄女神瑜伽,True,96989.60000000,0.00121288
2025-08,面部瑜伽驻颜,True,91093.90000000,0.00113916
2025-08,风光摄影,True,8902.50000000,0.00011133
2025-09,东方养正瑜伽,True,684072.33000000,0.00972968
2025-09,中医变美,True,1467461.03000000,0.02087195
2025-09,云帆太极,True,53075.00000000,0.00075489
2025-09,五禽戏,True,10344.60000000,0.00014713
2025-09,产研测试,True,14001.81000000,0.00019915
2025-09,体态,True,6905.50000000,0.00009822
2025-09,体质食养,True,0.10000000,0.00000000
2025-09,健康营养,True,1766619.70000000,0.02512694
2025-09,健康食养,True,1140783.06000000,0.01622556
2025-09,华佗肩颈舒活功,True,0.00000000,0.00000000
2025-09,古法居家养生,True,10297.15000000,0.00014646
2025-09,君合太极,True,39937.00000000,0.00056803
2025-09,唱歌,True,14888610.23000000,0.21176328
2025-09,国际声乐,True,1960.00000000,0.00002788
2025-09,太极,True,19994095.94000000,0.28437949
2025-09,影像乐园,True,16292.00000000,0.00023172
2025-09,手机摄影,True,3249366.05000000,0.04621630
2025-09,摄影美学,True,132.30000000,0.00000188
2025-09,普拉提,True,5347537.80000000,0.07605896
2025-09,气血调理,True,2543994.77000000,0.03618368
2025-09,瑜伽,True,9599461.98000000,0.13653481
2025-09,相机摄影,True,711355.80000000,0.01011774
2025-09,睡眠调理,True,2737407.83000000,0.03893463
2025-09,短视频,True,5638805.02000000,0.08020170
2025-09,私域,True,0.00000000,0.00000000
2025-09,舞蹈,True,56908.30000000,0.00080942
2025-09,茶道,True,55096.60000000,0.00078365
2025-09,轻训营,True,0.00000000,0.00000000
2025-09,逆龄女神瑜伽,True,63342.00000000,0.00090092
2025-09,钩针编织美学,True,4158.00000000,0.00005914
2025-09,面部瑜伽驻颜,True,204889.50000000,0.00291418
2025-09,风光摄影,True,887.30000000,0.00001262
2025-10,东方养正瑜伽,True,679751.19000000,0.00960617
2025-10,中医变美,True,2572659.52000000,0.03635656
2025-10,云帆太极,True,14963.60000000,0.00021146
2025-10,五禽戏,True,8122.56000000,0.00011479
2025-10,产研测试,True,12.80000000,0.00000018
2025-10,体态,True,5068.00000000,0.00007162
2025-10,健康营养,True,1733990.30000000,0.02450457
2025-10,健康食养,True,2493965.55000000,0.03524446
2025-10,华佗肩颈舒活功,True,0.00000000,0.00000000
2025-10,古法居家养生,True,2210.00000000,0.00003123
2025-10,君合太极,True,168016.01000000,0.00237438
2025-10,唱歌,True,13606608.91000000,0.19228719
2025-10,国学朗诵,True,93930.60000000,0.00132742
2025-10,国际声乐,True,17660.00000000,0.00024957
2025-10,太极,True,21605221.74000000,0.30532276
2025-10,影像乐园,True,18875.00000000,0.00026674
2025-10,戏曲,True,0.01000000,0.00000000
2025-10,手机摄影,True,3895853.75000000,0.05505580
2025-10,摄影美学,True,9448.00000000,0.00013352
2025-10,普拉提,True,6651951.57000000,0.09400469
2025-10,气血调理,True,2348690.00000000,0.03319144
2025-10,瑜伽,True,6836879.09000000,0.09661807
2025-10,相机摄影,True,855878.46000000,0.01209519
2025-10,睡眠调理,True,2396362.97000000,0.03386515
2025-10,短视频,True,4374878.94000000,0.06182534
2025-10,私域,True,0.00000000,0.00000000
2025-10,舞蹈,True,44751.70000000,0.00063243
2025-10,茶道,True,12504.00000000,0.00017671
2025-10,逆龄女神瑜伽,True,61294.30000000,0.00086620
2025-10,钩针编织美学,True,0.00000000,0.00000000
2025-10,面部瑜伽驻颜,True,252359.10000000,0.00356631
2025-10,风光摄影,True,1.90000000,0.00000003
2025-11,东方养正瑜伽,False,710925.81000000,0.01899849
2025-11,中医变美,False,2138290.57000000,0.05714280
2025-11,云帆太极,False,680.00000000,0.00001817
2025-11,五禽戏,False,6470.22000000,0.00017291
2025-11,产研测试,False,12.89000000,0.00000034
2025-11,健康营养,False,990230.18000000,0.02646251
2025-11,健康食养,False,2203111.10000000,0.05887504
2025-11,古法居家养生,False,39.00000000,0.00000104
2025-11,君合太极,False,163021.45000000,0.00435652
2025-11,唱歌,False,7610842.83000000,0.20338906
2025-11,国学朗诵,False,56733.40000000,0.00151612
