month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,-,False,0.00000000,20,1,1,0.08000000,0.01000000,0.01000000,0.00000000,14,13,0.00000000,0.00000000,0.05000000,,0.70000000,0.65000000
2025-07,01瑜伽招募达人合集-DSP-短视频,False,0.00000000,3,1,1,1880.00000000,1880.00000000,1880.00000000,0.00000000,0,0,0.00000000,0.00000000,0.33333333,,0.00000000,0.00000000
2025-07,360,False,123410.28000000,1677,26,26,49060.02000000,49059.00000000,49059.00000000,0.00000000,28,4,4746.54923077,2.51554822,0.01550388,0.39753593,0.01669648,0.00238521
2025-07,CX老师-SY-其他异业,False,24705.34000000,210,29,29,52396.00000000,52238.00000000,52238.00000000,0.00000000,1,0,851.90827586,0.47293809,0.13809524,2.12083703,0.00476190,0.00000000
2025-07,Facebook,False,145217.54000000,528,20,20,37600.00000000,37600.00000000,37600.00000000,0.00000000,0,0,7260.87700000,3.86216862,0.03787879,0.25892189,0.00000000,0.00000000
2025-07,GDT,False,4848751.47000000,27386,1661,1661,3185362.41000000,3147361.00000000,3112135.41000000,35225.59000000,1675,28,2919.17608067,1.55801430,0.06065143,0.65694487,0.06116264,0.00102242
2025-07,GG-厦门艺游,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,LZF老师-SY-其他异业,False,2700.53000000,26,2,2,4260.00000000,4260.00000000,4260.00000000,0.00000000,1,1,1350.26500000,0.63392723,0.07692308,1.57746813,0.03846154,0.03846154
2025-07,NG快鸟-XCX-垂直应用,False,8035.57000000,862,2,2,4360.00000000,4360.00000000,4360.00000000,0.00000000,155,5,4017.78500000,1.84302064,0.00232019,0.54258752,0.17981439,0.00580046
2025-07,OP-新锐,False,0.00000000,4,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,PQ-P-垂直应用,False,950617.41000000,57236,431,431,806682.85000000,817858.00000000,806682.85000000,11175.15000000,2766,101,2205.60883991,1.17842769,0.00753023,0.84858834,0.04832623,0.00176462
2025-07,PQ卡锐-P-垂直应用,False,62192.85000000,3248,31,31,54993.85000000,57580.00000000,54993.85000000,2586.15000000,6,1,2006.22096774,1.13090555,0.00954433,0.88424714,0.00184729,0.00030788
2025-07,PQ快鸟-P-垂直应用,False,18932.49000000,1259,5,5,7838.00000000,7838.00000000,7838.00000000,0.00000000,372,25,3786.49800000,2.41547461,0.00397141,0.41399731,0.29547260,0.01985703
2025-07,PQ龙特星-P-垂直应用,False,114309.90000000,5185,51,51,94568.00000000,96450.00000000,94568.00000000,1882.00000000,33,1,2241.37058824,1.20875878,0.00983607,0.82729492,0.00636451,0.00019286
2025-07,R得-T-短信TMK,False,0.00000000,2,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,UC,False,461.47000000,4,0,0,4.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00866795,0.00000000,0.00000000
2025-07,WB-武汉优嘉,False,5556.76000000,18,2,2,5378.00000000,5360.00000000,5360.00000000,0.00000000,0,0,2778.38000000,1.03670896,0.11111111,0.96783017,0.00000000,0.00000000
2025-07,XM-亚德,False,30648.85000000,324,10,10,16400.00000000,16400.00000000,16400.00000000,0.00000000,5,1,3064.88500000,1.86883232,0.03086420,0.53509349,0.01543210,0.00308642
2025-07,ZH-武汉飓风,False,0.00000000,80,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,ip视频号,False,0.00000000,133,0,0,0.00000000,0.00000000,0.00000000,0.00000000,8,7,,,0.00000000,,0.06015038,0.05263158
2025-07,oppo,False,134833.28000000,1041,43,43,79219.00000000,78178.00000000,78178.00000000,0.00000000,37,1,3135.65767442,1.72469595,0.04130644,0.58753299,0.03554275,0.00096061
2025-07,vivo,False,266990.88000000,2236,61,61,120015.68000000,118526.00000000,117792.67000000,733.33000000,56,13,4376.89967213,2.26661710,0.02728086,0.44951228,0.02504472,0.00581395
2025-07,一杯星光-dy-短直视频,False,0.00000000,48,0,0,0.00000000,0.00000000,0.00000000,0.00000000,2,0,,,0.00000000,,0.04166667,0.00000000
2025-07,一路向前-G-公众号,False,2349.91000000,23,0,0,25.30000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.01076637,0.00000000,0.00000000
2025-07,三金手机摄影教学-sp-短直视频,False,7081.02000000,107,2,2,4560.00000000,4760.00000000,4560.00000000,200.00000000,43,3,3540.51000000,1.55285526,0.01869159,0.64397502,0.40186916,0.02803738
2025-07,上海势居-DX-短信TMK,False,0.00000000,5,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,上海成效-ZF-垂直应用,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,上海贤胜-SY-私域社群,False,0.00000000,53,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,东莞聚力-APP-垂直应用,False,45516.14000000,404,20,20,42518.00000000,40400.00000000,40100.00000000,300.00000000,3,0,2275.80700000,1.13506584,0.04950495,0.93413018,0.00742574,0.00000000
2025-07,中视文化-DY-短直视频,False,2770.32000000,102,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,乐推YK-APP-垂直应用,False,4322.14000000,101,3,3,7140.00000000,6540.00000000,6540.00000000,0.00000000,1,0,1440.71333333,0.66087768,0.02970297,1.65195945,0.00990099,0.00000000
2025-07,互动吧-G-公众号,False,2310.65000000,107,8,8,15973.30000000,15864.00000000,15864.00000000,0.00000000,0,0,288.83125000,0.14565368,0.07476636,6.91290330,0.00000000,0.00000000
