module,rule_id,month,dimension_type,dimension_value,hit,actual,threshold,reason
S1,R3,2025-08,全品类,__ALL__,False,0.31796735,> 0.50,品类首单营收Top1 / 全品类首单营收
S1,R4,2025-08,全品类,__ALL__,False,0.66687547,< 0.50,品类首单营收Top3 / 全品类首单营收
S1,R3,2025-09,全品类,__ALL__,False,0.28437949,> 0.50,品类首单营收Top1 / 全品类首单营收
S1,R4,2025-09,全品类,__ALL__,False,0.63267758,< 0.50,品类首单营收Top3 / 全品类首单营收
S1,R3,2025-10,全品类,__ALL__,False,0.30532276,> 0.50,品类首单营收Top1 / 全品类首单营收
S1,R4,2025-10,全品类,__ALL__,False,0.59422802,< 0.50,品类首单营收Top3 / 全品类首单营收
S1,R5,2025-10,所属品类,东方养正瑜伽,True,679751.19000000,连续3个完整月下降,829025.98 -> 684072.33 -> 679751.19
S1,R5,2025-10,所属品类,中医变美,False,2572659.52000000,连续3个完整月下降,824498.30 -> 1467461.03 -> 2572659.52
S1,R5,2025-10,所属品类,云帆太极,True,14963.60000000,连续3个完整月下降,89802.50 -> 53075.00 -> 14963.60
S1,R5,2025-10,所属品类,五禽戏,True,8122.56000000,连续3个完整月下降,78271.40 -> 10344.60 -> 8122.56
S1,R5,2025-10,所属品类,产研测试,False,12.80000000,连续3个完整月下降,0.21 -> 14001.81 -> 12.80
S1,R5,2025-10,所属品类,体态,True,5068.00000000,连续3个完整月下降,12800.60 -> 6905.50 -> 5068.00
S1,R5,2025-10,所属品类,健康营养,True,1733990.30000000,连续3个完整月下降,2094601.37 -> 1766619.70 -> 1733990.30
S1,R5,2025-10,所属品类,健康食养,False,2493965.55000000,连续3个完整月下降,491859.47 -> 1140783.06 -> 2493965.55
S1,R5,2025-10,所属品类,古法居家养生,False,2210.00000000,连续3个完整月下降,9059.20 -> 10297.15 -> 2210.00
S1,R5,2025-10,所属品类,君合太极,False,168016.01000000,连续3个完整月下降,0.00 -> 39937.00 -> 168016.01
S1,R5,2025-10,所属品类,唱歌,True,13606608.91000000,连续3个完整月下降,15709396.16 -> 14888610.23 -> 13606608.91
S1,R5,2025-10,所属品类,太极,False,21605221.74000000,连续3个完整月下降,25426600.79 -> 19994095.94 -> 21605221.74
