module,rule_id,rule_name,hit,dimension_type,dimension_name,period_start,period_end,metrics,threshold,evidence
S1,R3,营收集中度,False,all_categories,__ALL__,2025-08,2025-08,"{""top1_revenue"": 25426600.79, ""top1_share"": 0.3179673548221943, ""total_revenue"": 79966073.25999999}",Top1品类首单营收占比 > 0.50,"[""Top1品类 太极"", ""Top1营收 25426600.79"", ""全品类营收 79966073.26"", ""Top1占比 0.317967""]"
S1,R4,营收过于分散,False,all_categories,__ALL__,2025-08,2025-08,"{""top3_revenue"": 53327412.64, ""top3_share"": 0.6668754693832769, ""total_revenue"": 79966073.25999999}",Top3品类首单营收占比 < 0.50,"[""Top3营收 53327412.64"", ""全品类营收 79966073.26"", ""Top3占比 0.666875""]"
S1,R3,营收集中度,False,all_categories,__ALL__,2025-09,2025-09,"{""top1_revenue"": 19994095.94, ""top1_share"": 0.2843794900379949, ""total_revenue"": 70307798.7}",Top1品类首单营收占比 > 0.50,"[""Top1品类 太极"", ""Top1营收 19994095.94"", ""全品类营收 70307798.70"", ""Top1占比 0.284379""]"
S1,R4,营收过于分散,False,all_categories,__ALL__,2025-09,2025-09,"{""top3_revenue"": 44482168.150000006, ""top3_share"": 0.6326775830346115, ""total_revenue"": 70307798.7}",Top3品类首单营收占比 < 0.50,"[""Top3营收 44482168.15"", ""全品类营收 70307798.70"", ""Top3占比 0.632678""]"
S1,R3,营收集中度,False,all_categories,__ALL__,2025-10,2025-10,"{""top1_revenue"": 21605221.74, ""top1_share"": 0.3053227629283719, ""total_revenue"": 70761909.57}",Top1品类首单营收占比 > 0.50,"[""Top1品类 太极"", ""Top1营收 21605221.74"", ""全品类营收 70761909.57"", ""Top1占比 0.305323""]"
S1,R4,营收过于分散,False,all_categories,__ALL__,2025-10,2025-10,"{""top3_revenue"": 42048709.739999995, ""top3_share"": 0.5942280245900379, ""total_revenue"": 70761909.57}",Top3品类首单营收占比 < 0.50,"[""Top3营收 42048709.74"", ""全品类营收 70761909.57"", ""Top3占比 0.594228""]"
S1,R5,核心品类下行趋势,True,category,东方养正瑜伽,2025-08,2025-10,"{""current_revenue"": 679751.19, ""previous_revenue"": 684072.33, ""start_revenue"": 829025.98}",连续3个完整月下降,"[""2025-08 首单营收 829025.98"", ""2025-09 首单营收 684072.33"", ""2025-10 首单营收 679751.19""]"
S1,R5,核心品类下行趋势,False,category,中医变美,2025-08,2025-10,"{""current_revenue"": 2572659.52, ""previous_revenue"": 1467461.03, ""start_revenue"": 824498.3}",连续3个完整月下降,"[""2025-08 首单营收 824498.30"", ""2025-09 首单营收 1467461.03"", ""2025-10 首单营收 2572659.52""]"
S1,R5,核心品类下行趋势,True,category,云帆太极,2025-08,2025-10,"{""current_revenue"": 14963.6, ""previous_revenue"": 53075.0, ""start_revenue"": 89802.5}",连续3个完整月下降,"[""2025-08 首单营收 89802.50"", ""2025-09 首单营收 53075.00"", ""2025-10 首单营收 14963.60""]"
S1,R5,核心品类下行趋势,True,category,五禽戏,2025-08,2025-10,"{""current_revenue"": 8122.56, ""previous_revenue"": 10344.6, ""start_revenue"": 78271.4}",连续3个完整月下降,"[""2025-08 首单营收 78271.40"", ""2025-09 首单营收 10344.60"", ""2025-10 首单营收 8122.56""]"
S1,R5,核心品类下行趋势,False,category,产研测试,2025-08,2025-10,"{""current_revenue"": 12.8, ""previous_revenue"": 14001.81, ""start_revenue"": 0.21}",连续3个完整月下降,"[""2025-08 首单营收 0.21"", ""2025-09 首单营收 14001.81"", ""2025-10 首单营收 12.80""]"
S1,R5,核心品类下行趋势,True,category,体态,2025-08,2025-10,"{""current_revenue"": 5068.0, ""previous_revenue"": 6905.5, ""start_revenue"": 12800.6}",连续3个完整月下降,"[""2025-08 首单营收 12800.60"", ""2025-09 首单营收 6905.50"", ""2025-10 首单营收 5068.00""]"
S1,R5,核心品类下行趋势,True,category,健康营养,2025-08,2025-10,"{""current_revenue"": 1733990.3, ""previous_revenue"": 1766619.7, ""start_revenue"": 2094601.37}",连续3个完整月下降,"[""2025-08 首单营收 2094601.37"", ""2025-09 首单营收 1766619.70"", ""2025-10 首单营收 1733990.30""]"
S1,R5,核心品类下行趋势,False,category,健康食养,2025-08,2025-10,"{""current_revenue"": 2493965.55, ""previous_revenue"": 1140783.06, ""start_revenue"": 491859.47}",连续3个完整月下降,"[""2025-08 首单营收 491859.47"", ""2025-09 首单营收 1140783.06"", ""2025-10 首单营收 2493965.55""]"
S1,R5,核心品类下行趋势,False,category,古法居家养生,2025-08,2025-10,"{""current_revenue"": 2210.0, ""previous_revenue"": 10297.15, ""start_revenue"": 9059.2}",连续3个完整月下降,"[""2025-08 首单营收 9059.20"", ""2025-09 首单营收 10297.15"", ""2025-10 首单营收 2210.00""]"
S1,R5,核心品类下行趋势,False,category,君合太极,2025-08,2025-10,"{""current_revenue"": 168016.01, ""previous_revenue"": 39937.0, ""start_revenue"": 0.0}",连续3个完整月下降,"[""2025-08 首单营收 0.00"", ""2025-09 首单营收 39937.00"", ""2025-10 首单营收 168016.01""]"
S1,R5,核心品类下行趋势,True,category,唱歌,2025-08,2025-10,"{""current_revenue"": 13606608.91, ""previous_revenue"": 14888610.23, ""start_revenue"": 15709396.16}",连续3个完整月下降,"[""2025-08 首单营收 15709396.16"", ""2025-09 首单营收 14888610.23"", ""2025-10 首单营收 13606608.91""]"
S1,R5,核心品类下行趋势,False,category,太极,2025-08,2025-10,"{""current_revenue"": 21605221.74, ""previous_revenue"": 19994095.94, ""start_revenue"": 25426600.79}",连续3个完整月下降,"[""2025-08 首单营收 25426600.79"", ""2025-09 首单营收 19994095.94"", ""2025-10 首单营收 21605221.74""]"
